[2024-09-02 19:06:43,036] INFO [QuorumController id=1] Creating new QuorumController with clusterId 6jKgrn6AQWasXgFPRzxV0g. (org.apache.kafka.controller.QuorumController)
[2024-09-02 19:06:43,042] INFO [QuorumController id=1] Becoming the active controller at epoch 1, next write offset 1. (org.apache.kafka.controller.QuorumController)
[2024-09-02 19:09:40,109] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-5 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,109] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-6 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,109] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-7 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,110] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-8 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,110] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-9 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,110] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-10 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,110] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-11 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,110] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-12 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,111] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-13 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,111] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-14 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,111] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-15 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,111] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-16 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,112] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-17 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,112] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-18 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,112] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-19 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,112] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-20 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
[2024-09-02 19:09:40,112] INFO [QuorumController id=1] Replayed PartitionRecord for new partition __consumer_offsets-21 with topic ID 6IWF03JWSnSy2TPxm_2Ceg and PartitionRegistration(replicas=[1], directories=[bOn0HQux8YJPAUEV0wnUlw], isr=[1], removingReplicas=[], addingReplicas=[], elr=[], lastKnownElr=[], leader=1, leaderRecoveryState=RECOVERED, leaderEpoch=0, partitionEpoch=0). (org.apache.kafka.controller.ReplicationControlManager)
